"Prime Minister Hun Sen insisted that talks take place in Cambodia while opposition leaders Ranariddh and Sam Rainsy, fearing arrest at home, wanted them abroad.",sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.",0,100,0.2449,0.04256,0.0,0.16327,0.03472,0.1502433333333333
Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.,1,100,0.12903,0.03334,0.0,0.06451,0.00414,0.07562666666666668
Hun Sen said on Friday that the opposition concerns over their safety in the country was ``just an excuse for them to stay abroad.'',10,100,0.28572,0.04256,0.0,0.2449,0.06944,0.19106
Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.,11,100,0.18605,0.14634,0.10257,0.18605,0.02649,0.17281333333333335
Sam Rainsy and a number of opposition figures have been under court investigation for a grenade attack on Hun Sen's Phnom Penh residence on Sep. 7.,12,100,0.23077,0.08,0.0,0.07692,0.00615,0.12922999999999998
"Hun Sen was not home at the time of the attack, which was followed by a police crackdown on demonstrators contesting Hun Sen's election victory.",13,100,0.15686,0.04082,0.0,0.11764,0.016,0.10510666666666667
"The Sam Rainsy Party, in a statement released Friday, accused Hun Sen of being ``unwilling to make any compromise'' on negotiations to break the deadlock.",14,100,0.2,0.08333,0.0,0.08,0.00667,0.12111000000000001
"``A meeting outside Cambodia, as suggested by the opposition, could place all parties on more equal footing,'' said the statement.",15,100,0.13333,0.0,0.0,0.08889,0.00408,0.07407333333333334
``But the ruling party refuses to negotiate unless it is able to threaten its negotiating partners with arrest or worse.'',16,100,0.04444,0.0,0.0,0.04444,0.0,0.029626666666666666
"Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.",2,100,0.38806,0.18461,0.06349,0.23881,0.08613,0.2704933333333333
"Hun Sen, however, rejected that.",3,100,0.2,0.07143,0.0,0.2,0.01935,0.15714333333333333
"``I would like to make it clear that all meetings related to Cambodian affairs must be conducted in the Kingdom of Cambodia,'' Hun Sen told reporters after a Cabinet meeting on Friday.",4,100,0.17544,0.03637,0.0,0.10526,0.01005,0.10569
``No-one should internationalize Cambodian affairs.,5,100,0.0,0.0,0.0,0.0,0.0,0.0
"It is detrimental to the sovereignty of Cambodia,'' he said.",6,100,0.05714,0.0,0.0,0.05714,0.0,0.03809333333333333
"Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.",7,100,0.10526,0.03637,0.0,0.10526,0.00754,0.08229666666666667
Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.,8,100,0.36364,0.19048,0.1,0.18182,0.04246,0.24531333333333336
They have demanded a thorough investigation into their election complaints as a precondition for their cooperation in getting the national assembly moving and a new government formed.,9,100,0.07692,0.0,0.0,0.07692,0.00307,0.05128
