King Sihanouk declined to chair talks in either place.,sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.",0,100,0.12121,0.0,0.0,0.06061,0.0,0.06060666666666666
Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.,1,100,0.13043,0.0,0.0,0.13043,0.00854,0.08695333333333333
Hun Sen said on Friday that the opposition concerns over their safety in the country was ``just an excuse for them to stay abroad.'',10,100,0.12121,0.0,0.0,0.06061,0.0,0.06060666666666666
Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.,11,100,0.0,0.0,0.0,0.0,0.0,0.0
Sam Rainsy and a number of opposition figures have been under court investigation for a grenade attack on Hun Sen's Phnom Penh residence on Sep. 7.,12,100,0.0,0.0,0.0,0.0,0.0,0.0
"Hun Sen was not home at the time of the attack, which was followed by a police crackdown on demonstrators contesting Hun Sen's election victory.",13,100,0.0,0.0,0.0,0.0,0.0,0.0
"The Sam Rainsy Party, in a statement released Friday, accused Hun Sen of being ``unwilling to make any compromise'' on negotiations to break the deadlock.",14,100,0.11765,0.0,0.0,0.05882,0.0,0.05882333333333334
"``A meeting outside Cambodia, as suggested by the opposition, could place all parties on more equal footing,'' said the statement.",15,100,0.06897,0.0,0.0,0.06897,0.0,0.04598
``But the ruling party refuses to negotiate unless it is able to threaten its negotiating partners with arrest or worse.'',16,100,0.06897,0.0,0.0,0.06897,0.0,0.04598
"Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.",2,100,0.15687,0.0,0.0,0.11765,0.00893,0.09150666666666667
"Hun Sen, however, rejected that.",3,100,0.0,0.0,0.0,0.0,0.0,0.0
"``I would like to make it clear that all meetings related to Cambodian affairs must be conducted in the Kingdom of Cambodia,'' Hun Sen told reporters after a Cabinet meeting on Friday.",4,100,0.09756,0.0,0.0,0.09756,0.00377,0.06504
``No-one should internationalize Cambodian affairs.,5,100,0.0,0.0,0.0,0.0,0.0,0.0
"It is detrimental to the sovereignty of Cambodia,'' he said.",6,100,0.10526,0.0,0.0,0.10526,0.0,0.07017333333333334
"Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.",7,100,0.09756,0.0,0.0,0.04878,0.0,0.04878
Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.,8,100,0.07143,0.0,0.0,0.07143,0.0,0.047619999999999996
They have demanded a thorough investigation into their election complaints as a precondition for their cooperation in getting the national assembly moving and a new government formed.,9,100,0.05556,0.0,0.0,0.05556,0.0,0.03704
