"3/1:The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
",sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"The CPP fell short of the two-thirds majority needed to form a government alone.
",46,100,0.36842,0.16667,0.11765,0.36842,0.11731,0.30117
"Hun Sen used Thursday's anniversary of a peace agreement ending the country's civil war to pressure the opposition to form a coalition government with his party.
",131,100,0.35294,0.08163,0.04255,0.31372,0.10143,0.24942999999999996
"Disputes over the presidency have been a major stumbling block in talks between the two-party opposition bloc and the Cambodian People's Party to form a new government.
",52,100,0.30769,0.12,0.04167,0.30769,0.08801,0.2451266666666667
"Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.
",169,100,0.32727,0.1132,0.07843,0.29091,0.08811,0.24379333333333333
"King Norodom Sihanouk has declined requests to chair a summit of Cambodia's top political leaders, saying the meeting would not bring any progress in deadlocked negotiations to form a government.
",126,100,0.29629,0.11538,0.08,0.25926,0.07242,0.22364333333333333
"Hun Sen's party won 64 of the 122 seats in parliament in July's national election, but not the two-thirds majority necessary to form a government on its own.
",133,100,0.29629,0.11538,0.08,0.25926,0.07242,0.22364333333333333
"Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.
",163,100,0.3,0.10344,0.03571,0.26667,0.07617,0.22336999999999999
"The parties are to form working groups this week to divide remaining government posts and draft a constitutional amendment to form a new Senate.
",95,100,0.29788,0.08889,0.04651,0.25532,0.08696,0.21402999999999997
"His 15 seats in the 122-seat assembly are irrelevant to forming a working government.
",50,100,0.26316,0.11111,0.05882,0.26316,0.05587,0.21247666666666665
"The two parties have formed three working groups to hammer out details of the agreement, including the establishment of a Senate to be the upper house of parliament.
",159,100,0.39215,0.0,0.0,0.2353,0.10143,0.20915000000000003
"Hun Sen's party recently called on Ranariddh to return to the negotiation table and said it was willing to make an ``appropriate concession'' to break the deadlock over forming a government.
",64,100,0.29091,0.07547,0.03921,0.25455,0.06943,0.20697666666666667
"In the most recent elections, held in July, Hun Sen's party collected 64 of the 122 parliamentary seats, but was short of the two-thirds majority needed to set up a new government.
",60,100,0.31579,0.0,0.0,0.2807,0.08108,0.19882999999999998
"Ranariddh, whose FUNCINPEC party finished a close second in the election, returned last week and struck a deal with Hun Sen to form a coalition government.
",157,100,0.2449,0.08511,0.04445,0.2449,0.05536,0.19163666666666668
"The Sam Rainsy Party, in a statement released Friday, accused Hun Sen of being ``unwilling to make any compromise'' on negotiations to break the deadlock.
",176,100,0.33334,0.0,0.0,0.20833,0.06871,0.18055666666666667
"The deal assures the two-thirds vote in parliament needed to approve a new government.
",119,100,0.26316,0.0,0.0,0.26316,0.05587,0.17544
