"Left out, Sam Rainsy sought the King's assurance of Hun Sen's promise of safety and freedom for all politicians.",sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.",0,100,0.22222,0.04651,0.0,0.13333,0.02469,0.13402
Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.,1,100,0.24138,0.07143,0.03704,0.17242,0.03652,0.16174333333333335
Hun Sen said on Friday that the opposition concerns over their safety in the country was ``just an excuse for them to stay abroad.'',10,100,0.22222,0.04651,0.0,0.17778,0.03293,0.14883666666666667
Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.,11,100,0.20513,0.05405,0.0,0.15385,0.01653,0.13767666666666667
Sam Rainsy and a number of opposition figures have been under court investigation for a grenade attack on Hun Sen's Phnom Penh residence on Sep. 7.,12,100,0.33333,0.13043,0.04545,0.25,0.07487,0.23792
"Hun Sen was not home at the time of the attack, which was followed by a police crackdown on demonstrators contesting Hun Sen's election victory.",13,100,0.21277,0.08889,0.04651,0.21277,0.0486,0.17147666666666664
"The Sam Rainsy Party, in a statement released Friday, accused Hun Sen of being ``unwilling to make any compromise'' on negotiations to break the deadlock.",14,100,0.26087,0.09091,0.0,0.21739,0.05882,0.18972333333333333
"``A meeting outside Cambodia, as suggested by the opposition, could place all parties on more equal footing,'' said the statement.",15,100,0.09756,0.0,0.0,0.09756,0.005,0.06504
``But the ruling party refuses to negotiate unless it is able to threaten its negotiating partners with arrest or worse.'',16,100,0.04878,0.0,0.0,0.04878,0.0,0.03252
"Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.",2,100,0.25397,0.09836,0.0339,0.22222,0.04481,0.19151666666666667
"Hun Sen, however, rejected that.",3,100,0.15385,0.08333,0.0,0.15385,0.00909,0.13034333333333334
"``I would like to make it clear that all meetings related to Cambodian affairs must be conducted in the Kingdom of Cambodia,'' Hun Sen told reporters after a Cabinet meeting on Friday.",4,100,0.18868,0.03922,0.0,0.15094,0.017,0.12627999999999998
``No-one should internationalize Cambodian affairs.,5,100,0.0,0.0,0.0,0.0,0.0,0.0
"It is detrimental to the sovereignty of Cambodia,'' he said.",6,100,0.12903,0.0,0.0,0.12903,0.00784,0.08602
"Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.",7,100,0.26415,0.07843,0.04081,0.15094,0.03683,0.16450666666666666
Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.,8,100,0.35,0.1579,0.05555,0.25,0.06299,0.2526333333333333
They have demanded a thorough investigation into their election complaints as a precondition for their cooperation in getting the national assembly moving and a new government formed.,9,100,0.125,0.0,0.0,0.08333,0.00357,0.06944333333333334
