summary_index,summary_sent,best-avg-rouge-01,best-avg-rouge-02,best-avg-rouge-03
0,"Prospects were dim for resolution of the political crisis in Cambodia in October 1998.
","2/6:``The major political crisis in the country has been resolved and the political deadlock facing the nation has also come to an end,'' the king said in his statement.
","9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
","2/3:It was one of the main stumbling blocks in months of discord.
"
1,"Prime Minister Hun Sen insisted that talks take place in Cambodia while opposition leaders Ranariddh and Sam Rainsy, fearing arrest at home, wanted them abroad.
","9/2:Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.
","3/6:The royalist party also rejected Hun Sen's calls to hold bilateral talks, insisting that Ranariddh's main ally Sam Rainsy also be included.
","9/8:Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.
"
10,"The three-month governmental deadlock ended with Han Sen and his chief rival, Prince Norodom Ranariddh sharing power.
","6/3:But a deal reached between Hun Sen and his chief rival, Prince Norodom Ranariddh, on forming a new government last week has opened the door for their return.
","5/0:Cambodian politicians expressed hope Monday that a new partnership between the parties of strongman Hun Sen and his rival, Prince Norodom Ranariddh, in a coalition government would not end in more violence.
","0/2:Uncompromising enemies just a few months ago, Hun Sen and FUNCINPEC President Prince Norodom Ranariddh agreed Nov. 13 to form a government at a summit convened by Sihanouk.
"
11,"Han Sen guaranteed safe return to Cambodia for all opponents but his strongest critic, Sam Rainsy, remained wary.
","6/10:Ranariddh told reporters Wednesday that he believed it was safe for Sam Rainsy in Cambodia.
","1/9:``Some (opposition politicians) have wanted the United Nations to help guarantee a safe return for them.''
","5/18:Sam Rainsy, a virulent critic of Hun Sen, and his party's 14 other members of parliament have remained outside Cambodia since September amid fears for their security.
"
12,"Chief of State King Norodom Sihanouk praised the agreement.
","2/5:Chea Sim will still serve as acting head of state during the king's frequent absences from the country.
","1/14:Diplomatic efforts to revive the stalled talks appeared to bear fruit Monday as Japanese Foreign Affairs Secretary of State Nobutaka Machimura said King Norodom Sihanouk has called on Ranariddh and Sam Rainsy to return to Cambodia.
","6/4:In a letter to King Norodom Sihanouk _ the prince's father and Cambodia's head of state _ that was broadcast on television Tuesday, Hun Sen said that guarantees of safety extended to Ranariddh applied to all politicians.
"
13,"Cambodian prime minister Hun Sen rejects demands of 2 opposition parties for talks in Beijing after failing to win a 2/3 majority in recent elections.
","9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
","6/14:The men served as co-prime ministers until Hun Sen overthrew Ranariddh in a coup last year.
","1/2:Hun Sen's ruling party narrowly won a majority in elections in July, but the opposition _ claiming widespread intimidation and fraud _ has denied Hun Sen the two-thirds vote in parliament required to approve the next government.
"
14,"Sihanouk refuses to host talks in Beijing.
","7/17:Sihanouk is reportedly set to fly to Beijing next month to receive medical treatment from his Chinese doctors.
","8/5:The opposition, alleging widespread fraud and intimidation, refused to accept the results of the polls.
","7/10:Hun Sen said his current government would remain in power as long as the opposition refused to form a new one.
"
15,"Opposition parties ask the Asian Development Bank to stop loans to Hun Sen's government.
","1/0:Cambodia's two-party opposition asked the Asian Development Bank Monday to stop providing loans to the incumbent government, which it calls illegal.
","1/5:``We respectfully advise the Asian Development Bank not to provide any new loans to the current regime in Cambodia,'' the two party leaders wrote.
","9/1:Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.
"
16,"CCP defends Hun Sen to the US Senate.
","7/21:Hun Sen ordered police to break up the demonstrations.
","9/3:Hun Sen, however, rejected that.
","7/15:Hun Sen implied Thursday that the opposition failed to follow through on promises made at the summit.
"
17,"FUNCINPEC refuses to share the presidency.
","8/5:The opposition, alleging widespread fraud and intimidation, refused to accept the results of the polls.
","3/4:``Co-sharing anything with the CPP means surrendering full power to them.
","7/21:Hun Sen ordered police to break up the demonstrations.
"
